Source,Target,Relation
SharadYadavMP,shadabkhan484,friend_of_friend
SharadYadavMP,e69r4T1pb72W8Pn,friend_of_friend
SharadYadavMP,MoazzamSarkar,friend_of_friend
SharadYadavMP,AamirKh81357867,friend_of_friend
SharadYadavMP,Shahnaw24000519,friend_of_friend
SharadYadavMP,Sadique11952679,friend_of_friend
SharadYadavMP,AsifIqbal2021,friend_of_friend
SharadYadavMP,shamiulazam93,friend_of_friend
SharadYadavMP,vinaygu59647840,friend_of_friend
SharadYadavMP,Harishmula3,friend_of_friend
SharadYadavMP,Wasim98388940,friend_of_friend
SharadYadavMP,Shivamr56169327,friend_of_friend
SharadYadavMP,MKGunjan2,friend_of_friend
SharadYadavMP,PSarrkar,friend_of_friend
SharadYadavMP,GANI16181,friend_of_friend
SharadYadavMP,Lalsinghyadav51,friend_of_friend
@SitaramYechury,yadavtejashwi,friend
DaudIbr29073608,yadavtejashwi,follower_of_friend
ratnesh24792043,yadavtejashwi,follower_of_friend
jash_sudhan,yadavtejashwi,follower_of_friend
ParvejRaza5,yadavtejashwi,follower_of_friend
wasim420123,yadavtejashwi,follower_of_friend
MehdiHu04247125,yadavtejashwi,follower_of_friend
